,words,count
1650,turning,48
1651,staying,48
1652,unable,47
1653,surprised,47
1654,libya,47
1655,inflation,47
1656,int,47
1657,cuomo,47
1658,reporters,47
1659,“you,47
1660,rebuild,47
1661,nymag,47
1662,earth,47
1663,kids,47
1664,mccabe,47
1665,daughter,47
1666,request,47
1667,succeed,47
1668,rapidly,47
1669,marklevinshow,47
1670,photo,47
1671,attention,47
1672,wise,47
1673,gang,47
1674,nh,47
1675,husband,47
1676,league,47
1677,voice,47
1678,professional,47
1679,period,47
1680,medicare,47
1681,european,47
1682,opportunities,47
1683,bretbaier,47
1684,pretty,47
1685,planning,47
1686,ambassador,47
1687,increased,46
1688,premiums,46
1689,“if,46
1690,schneiderman,46
1691,refuses,46
1692,elections,46
1693,rise,46
1694,rove,46
1695,gift,46
1696,overrated,46
1697,firing,46
1698,shame,46
1699,mitch,46
1700,jerry,46
1701,mississippi,46
1702,russians,46
1703,sounds,46
1704,admit,46
1705,missing,46
1706,muslim,46
1707,upcoming,46
1708,half,46
1709,lincoln,46
1710,vs,46
1711,greatness,46
1712,paris,46
1713,fisa,46
1714,graham,46
1715,patriot,46
1716,con,46
1717,testimony,46
1718,climate,46
1719,online,45
1720,vietnam,45
1721,therefore,45
1722,council,45
1723,autism,45
1724,tonights,45
1725,prove,45
1726,location,45
1727,returned,45
1728,add,45
1729,subject,45
1730,pastor,45
1731,wasted,45
1732,showing,45
1733,allowing,45
1734,rose,45
1735,notice,45
1736,promise,45
1737,fraudulent,45
1738,endorsed,45
1739,democratic,45
1740,nbcnews,45
1741,investment,44
1742,storm,44
1743,dr,44
1744,push,44
1745,“this,44
1746,followers,44
1747,inaccurate,44
1748,constantly,44
1749,dallas,44
1750,wanting,44
1751,additional,44
1752,regulations,44
1753,army,44
1754,what’s,44
1755,september,44
1756,independent,44
1757,garbage,44
1758,brother,44
1759,“president,44
1760,quality,44
1761,info,44
1762,testify,44
1763,competition,44
1764,vicious,44
1765,mittromneys,44
1766,consumer,44
1767,latest,44
1768,ocean,44
1769,numerous,44
1770,official,44
1771,ban,44
1772,excuse,44
1773,snowden,44
1774,deep,44
1775,rooms,43
1776,jack,43
1777,bloomberg,43
1778,example,43
1779,difficult,43
1780,agschneiderman,43
1781,bankrupt,43
1782,tells,43
1783,gonna,43
1784,interests,43
1785,creating,43
1786,officially,43
1787,date,43
1788,roger,43
1789,light,43
1790,dealing,43
1791,fairly,43
1792,october,43
1793,loving,43
1794,leads,43
1795,considered,43
1796,properly,43
1797,site,43
1798,banks,43
1799,realdonaldtrumps,43
1800,july,43
1801,performance,43
1802,worlds,43
1803,town,43
